"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2019-12-02",151.809998,151.830002,148.320007,149.550003,27418400,147.302139,2019-12-02
"2019-12-03",147.490005,149.429993,146.649994,149.309998,24066000,147.06575,2019-12-03
"2019-12-04",150.139999,150.179993,149.199997,149.850006,17574700,147.597626,2019-12-04
"2019-12-05",150.050003,150.320007,149.479996,149.929993,17869100,147.676453,2019-12-05
"2019-12-06",150.990005,151.869995,150.270004,151.75,16403500,149.469101,2019-12-06
"2019-12-09",151.070007,152.210007,150.910004,151.360001,16687400,149.084946,2019-12-09
"2019-12-10",151.289993,151.889999,150.759995,151.130005,16476100,148.858414,2019-12-10
"2019-12-11",151.539993,151.869995,150.330002,151.699997,18856600,149.41983,2019-12-11
"2019-12-12",151.649994,153.440002,151.020004,153.240005,24612100,150.936691,2019-12-12
"2019-12-13",153,154.889999,152.830002,154.529999,23845400,152.207291,2019-12-13
"2019-12-16",155.110001,155.899994,154.820007,155.529999,24144200,153.192261,2019-12-16
"2019-12-17",155.449997,155.710007,154.449997,154.690002,25425600,152.364883,2019-12-17
"2019-12-18",154.300003,155.479996,154.179993,154.369995,24129200,152.049698,2019-12-18
"2019-12-19",154,155.770004,153.75,155.710007,24958900,153.369568,2019-12-19
"2019-12-20",157.350006,158.490005,156.289993,157.410004,53477500,155.044037,2019-12-20
"2019-12-23",158.119995,158.119995,157.270004,157.410004,17718200,155.044037,2019-12-23
"2019-12-24",157.479996,157.710007,157.119995,157.380005,8989200,155.01445,2019-12-24
"2019-12-26",157.559998,158.729996,157.399994,158.669998,14520600,156.285065,2019-12-26
"2019-12-27",159.449997,159.550003,158.220001,158.960007,18412800,156.570709,2019-12-27
"2019-12-30",158.990005,159.020004,156.729996,157.589996,16348400,155.221313,2019-12-30
"2019-12-31",156.770004,157.770004,156.449997,157.699997,18369400,155.329636,2019-12-31
"2020-01-02",158.779999,160.729996,158.330002,160.619995,22622100,158.205765,2020-01-02
"2020-01-03",158.320007,159.949997,158.059998,158.619995,21116200,156.235825,2020-01-03
"2020-01-06",157.080002,159.100006,156.509995,159.029999,20813700,156.639694,2020-01-06
"2020-01-07",159.320007,159.669998,157.320007,157.580002,21634100,155.211456,2020-01-07
"2020-01-08",158.929993,160.800003,157.949997,160.089996,27746500,157.683731,2020-01-08
"2020-01-09",161.839996,162.220001,161.029999,162.089996,21385000,159.653641,2020-01-09
"2020-01-10",162.820007,163.220001,161.179993,161.339996,20725900,158.914932,2020-01-10
"2020-01-13",161.759995,163.309998,161.259995,163.279999,21626500,160.825775,2020-01-13
"2020-01-14",163.389999,163.600006,161.720001,162.130005,23477400,159.693054,2020-01-14
"2020-01-15",162.619995,163.940002,162.570007,163.179993,21417900,160.727264,2020-01-15
"2020-01-16",164.350006,166.240005,164.029999,166.169998,23865400,163.672348,2020-01-16
"2020-01-17",167.419998,167.470001,165.429993,167.100006,34371700,164.588379,2020-01-17
"2020-01-21",166.679993,168.190002,166.429993,166.5,29517200,163.997375,2020-01-21
"2020-01-22",167.399994,167.490005,165.679993,165.699997,24138800,163.209412,2020-01-22
"2020-01-23",166.190002,166.800003,165.270004,166.720001,19680800,164.214081,2020-01-23
"2020-01-24",167.509995,167.529999,164.449997,165.039993,24918100,162.559326,2020-01-24
"2020-01-27",161.149994,163.380005,160.199997,162.279999,32078100,159.840805,2020-01-27
"2020-01-28",163.779999,165.759995,163.070007,165.460007,24899900,162.973038,2020-01-28
"2020-01-29",167.839996,168.75,165.690002,168.039993,34754500,165.514221,2020-01-29
"2020-01-30",174.050003,174.050003,170.789993,172.779999,51597500,170.182999,2020-01-30
"2020-01-31",172.210007,172.399994,169.580002,170.229996,36142700,167.67131,2020-01-31
"2020-02-03",170.429993,174.5,170.399994,174.380005,30107000,171.758942,2020-02-03
"2020-02-04",177.139999,180.639999,176.309998,180.119995,36433300,177.412659,2020-02-04
"2020-02-05",184.029999,184.199997,178.410004,179.899994,39186300,177.195969,2020-02-05
"2020-02-06",180.970001,183.820007,180.059998,183.630005,27751400,180.869888,2020-02-06
"2020-02-07",182.850006,185.630005,182.479996,183.889999,33529100,181.126007,2020-02-07
"2020-02-10",183.580002,188.839996,183.25,188.699997,35844300,185.863693,2020-02-10
"2020-02-11",190.649994,190.699997,183.5,184.440002,53159900,181.66774,2020-02-11
"2020-02-12",185.580002,185.850006,181.850006,184.710007,47062900,181.933685,2020-02-12
"2020-02-13",183.080002,186.229996,182.869995,183.710007,35295800,180.948715,2020-02-13
"2020-02-14",183.25,185.410004,182.649994,185.350006,23149500,182.564056,2020-02-14
"2020-02-18",185.610001,187.699997,185.5,187.229996,27792200,184.415817,2020-02-18
"2020-02-19",188.059998,188.179993,186.470001,187.279999,29997500,184.968872,2020-02-19
"2020-02-20",186.949997,187.25,181.100006,184.419998,36862400,182.14418,2020-02-20
"2020-02-21",183.169998,183.5,177.25,178.589996,48572600,176.386124,2020-02-21
